name;machine;experiment;material;sample;fluid;method;type of energy;value (J/m^2);min (J/m^2);max (J/m^2);type of slip;value (m);min (m);max (m);normal stress (MPa);conf stress (MPa);pore press (MPa);stress drop (MPa);T (°C);peak slip velocity (m/s);Reference;Collection;Notes;Group;;;
s1390;rotary;trapezoidal;WG;saw-cut;99%gl;;Wb(Dc);547000;;;Dc;0.2257;;;7.7;;2.7;;;1;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1604;rotary;trapezoidal;WG;saw-cut;99%gl;;Wb(Dc);1363000;;;Dc;0.63725;;;7.7;;2.7;;;1;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1605;rotary;trapezoidal;WG;saw-cut;99%gl;;Wb(Dc);4467000;;;Dc;1.67612;;;7.7;;2.7;;;0.1;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1606;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);3346000;;;Dc;0.5025;;;12.7;;2.7;;;1;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1607;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);6571000;;;Dc;0.7541;;;12.7;;2.7;;;0.1;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1608;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);8870000;;;Dc;0.7311;;;12.7;;2.7;;;0.001;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1609;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);5628000;;;Dc;0.0077;;;12.7;;2.7;;;0.00001;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1610;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);184000;;;Dc;0.01393;;;22.2;;2.2;;;0.00001;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1611;rotary;trapezoidal;CM;saw-cut;99%gl;;Wb(Dc);159000;;;Dc;0.51663;;;7.7;;2.7;;;3;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1612;rotary;trapezoidal;CM;saw-cut;H2O;;Wb(Dc);9000;;;Dc;0.03939;;;12.7;;2.7;;;0.0001;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
s1613;rotary;trapezoidal;CM;saw-cut;H2O;;Wb(Dc);39000;;;Dc;0.13719;;;12.7;;2.7;;;0.001;Cornelio et al., 2019;Di Toro et al., in prep.;;3;;;
phv462;rotary;trapezoidal;Cascadia 888 mudstone;gouge;wet gouge;;Wb(Dc);176000;;;Dc;11.83;;;2;;;;;;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv463;rotary;trapezoidal;Cascadia 888 mudstone;gouge;wet gouge;;Wb(Dc);305000;;;Dc;1.02;;;5;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv464;rotary;trapezoidal;Cascadia 888 mudstone;gouge;wet gouge;;Wb(Dc);2710000;;;Dc;3.01;;;8;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv465;rotary;trapezoidal;Cascadia 1027 mudstone;gouge;wet gouge;;Wb(Dc);226000;;;Dc;6.76;;;2;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv466;rotary;trapezoidal;Cascadia 1027 mudstone;gouge;wet gouge;;Wb(Dc);831000;;;Dc;2.84;;;5;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv467;rotary;trapezoidal;Cascadia 1027 mudstone;gouge;wet gouge;;Wb(Dc);2250000;;;Dc;2.78;;;8;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv468;rotary;trapezoidal;Cascadia 1027 sandstone;gouge;wet gouge;;Wb(Dc);708000;;;Dc;3.56;;;2;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv469;rotary;trapezoidal;Cascadia 1027 sandstone;gouge;wet gouge;;Wb(Dc);2160000;;;Dc;3.45;;;5;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
phv470;rotary;trapezoidal;Cascadia 1027 sandstone;gouge;wet gouge;;Wb(Dc);1810000;;;Dc;1.32;;;8;;;;;1.03;Seyler et al., 2020;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Illite;gouge;wet gouge;;Wb(Dc);9000;;;Dc;0.61;;;1.61;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Illite;gouge;wet gouge;;Wb(Dc);52000;;;Dc;0.68;;;1.24;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Illite;gouge;wet gouge;;Wb(Dc);1000;;;Dc;0.06;;;1.63;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Illite;gouge;wet gouge;;Wb(Dc);1000;;;Dc;0.03;;;2.04;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);410000;;;Dc;6.32;;;0.82;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);851000;;;Dc;9.71;;;1.64;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);565000;;;Dc;8.28;;;2.44;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);181000;;;Dc;1.58;;;2.05;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);35000;;;Dc;0.68;;;1.64;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Pyrophyllite;gouge;wet gouge;;Wb(Dc);25000;;;Dc;0.42;;;1.24;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);1000;;;Dc;0.2;;;0.81;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);0.7;;;Dc;0.01;;;1.61;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);20;;;Dc;0.01;;;2.43;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);10;;;Dc;0.02;;;1.23;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);120;;;Dc;0.03;;;1.64;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Montmorillonite;gouge;wet gouge;;Wb(Dc);100;;;Dc;0.01;;;2.06;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Sericite;gouge;wet gouge;;Wb(Dc);33000;;;Dc;1.16;;;0.83;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Sericite;gouge;wet gouge;;Wb(Dc);8000;;;Dc;0.39;;;1.6;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Sericite;gouge;wet gouge;;Wb(Dc);237000;;;Dc;1.47;;;1.65;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Sericite;gouge;wet gouge;;Wb(Dc);179000;;;Dc;2.02;;;1.25;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);15000;;;Dc;0.77;;;0.81;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);400;;;Dc;0.04;;;1.63;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);45000;;;Dc;0.66;;;2.41;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);25000;;;Dc;0.39;;;1.61;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);10000;;;Dc;0.23;;;1.61;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);19000;;;Dc;0.44;;;1.62;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);7000;;;Dc;0.27;;;1.62;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);19000;;;Dc;0.48;;;1.61;;;;;1.31;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);1000;;;Dc;0.03;;;1.26;;;;;1.29;Faulkner et al., 2011;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Nankai megasplay core (C0004);gouge;wet gouge;;Wb(Dc);410000;;;Dc;1.36;;;2;;;;;1.27;Ujiie & Tsutsumi, 2010;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Nankai plate boundary core (C0007);gouge;wet gouge;;Wb(Dc);1330000;;;Dc;3.05;;;2;;;;;1.27;Ujiie et al., 2013;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;JFAST core;gouge;wet gouge;;Wb(Dc);36000;;;Dc;0.63;;;2;;;;;1.27;Ujiie et al., 2013;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Smectite gouge HVR3059;gouge;wet gouge;;Wb(Dc);308000;;;Dc;1.71;;;2;;;;;1.3;Oohashi et al., 2015;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Smectite gouge HVR3060;gouge;wet gouge;;Wb(Dc);98000;;;Dc;0.92;;;2;;;;;1.3;Oohashi et al., 2015;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Smectite gouge HVR3061;gouge;wet gouge;;Wb(Dc);123000;;;Dc;1.27;;;2;;;;;1.3;Oohashi et al., 2015;Di Toro et al., in prep.;;3;;;
;rotary;trapezoidal;Smectite gouge HVR3062;gouge;wet gouge;;Wb(Dc);380000;;;Dc;3.82;;;2;;;;;1.3;Oohashi et al., 2015;Di Toro et al., in prep.;;3;;;
s1200;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);50000;;;Dc;0.03;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1464;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);50000;;;Dc;0.06;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1465;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);40000;;;Dc;0.06;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1199;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);60000;;;Dc;0.02;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1471;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);240000;;;Dc;0.05;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1201;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);60000;;;Dc;0.04;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1466;rotary;trapezoidal;Costa Rica silty clay;gouge;wet gouge;;Wb(Dc);260000;;;Dc;0.04;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1202;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);80000;;;Dc;0.02;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1469;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);360000;;;Dc;0.01;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1467;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);400000;;;Dc;0.05;;;5;;;;;1;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1203;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);260000;;;Dc;0.13;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1468;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);330000;;;Dc;0.13;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1470;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);240000;;;Dc;0.04;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1473;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);60000;;;Dc;0.08;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
s1474;rotary;trapezoidal;Costa Rica biogenic ooze;gouge;wet gouge;;Wb(Dc);50000;;;Dc;0.63;;;5;;;;;0.01;Vannucchi et al., 2017;Di Toro et al., in prep.;;3;;;
HVR1475;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);650000;;;Dc;3.72;;;0.97;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1476;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);30000;;;Dc;0.37;;;0.55;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1477;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);1160000;;;Dc;6.06;;;1.37;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1590;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);3650000;;;Dc;60.87;;;0.25;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1483;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);140000;;;Dc;1.59;;;0.97;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1484;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);30000;;;Dc;0.36;;;0.98;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
HVR1715;rotary;trapezoidal;Talc;gouge;wet gouge;;Wb(Dc);10000;;;Dc;0.05;;;0.97;;;;;1.31;Boutareaud et al., 2012;Di Toro et al., in prep.;;3;;;
s1819;rotary;trapezoidal;Hikurangi fault core;gouge;wet gouge;;Wb(Dc);79000;;;Dc;0.4;;;3;;;;;0.8;Aretusini et al., 2021a;Di Toro et al., in prep.;;3;;;
s1816;rotary;trapezoidal;Hikurangi fault core;gouge;wet gouge;;Wb(Dc);40000;;;Dc;0.11;;;3;;;;;0.8;Aretusini et al., 2021a;Di Toro et al., in prep.;;3;;;
HVR3269;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);17000;;;Dc;0.08;;;1.5;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3270;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);13000;;;Dc;0.03;;;2;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3271;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);8000;;;Dc;0.05;;;0.8;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3272;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);12000;;;Dc;0.04;;;1.7;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3273;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);1000;;;Dc;0.01;;;1;;;;;0.35;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3274;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);1000;;;Dc;0.04;;;1;;;;;0.13;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3278;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);39000;;;Dc;0.21;;;1;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3440;rotary;trapezoidal;Japan input Core 38 (claystone);gouge;wet;;Wb(Dc);12000;;;Dc;0.06;;;1;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3190;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);67000;;;Dc;0.84;;;1;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3192;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);68000;;;Dc;1.07;;;1.5;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3193;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);121000;;;Dc;1.08;;;2;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3200;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);17000;;;Dc;0.41;;;1;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3206;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);13000;;;Dc;0.23;;;0.7;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3208;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);62000;;;Dc;0.73;;;1.7;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
HVR3265;rotary;trapezoidal;Japan input Core 40 (pelagic clay);gouge;wet;;Wb(Dc);6000;;;Dc;0.11;;;1;;;;;1.31;Sawai et al., 2014;Di Toro et al., in prep.;;3;;;
LHVR234;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);530000;;;Dc;1.43;;;2.45;;;;;0.65;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR236;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);1560000;;;Dc;3.87;;;2.49;;;;;0.65;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR237;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);1000000;;;Dc;2.13;;;2.49;;;;;0.65;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR238;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);1130000;;;Dc;2.54;;;2.5;;;;;1.3;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR239;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);1000000;;;Dc;2.51;;;2.52;;;;;0.33;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR240;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);520000;;;Dc;1.29;;;2.38;;;;;0.65;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
LHVR242;rotary;trapezoidal;quartz gouge (Ottawa sands);gouge;Wet;;Wb(Dc);780000;;;Dc;1.47;;;3.37;;;;;0.65;Togo & Shimamoto, 2012;Di Toro et al., in prep.;;3;;;
HVR180;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);1310000;;;Dc;9.11;;;3.6;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
HVR181;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);2010000;;;Dc;15.7;;;2.4;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
HVR182;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);3200000;;;Dc;68.5;;;2;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
HVR184;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);1700000;;;Dc;11.8;;;4.8;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
HVR185;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);720000;;;Dc;10.8;;;1;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
HVR186;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);2170000;;;Dc;54.1;;;1.2;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
LHV319;rotary;trapezoidal;Longmenshan fault gouge (coseismic);gouge;Wet;;Wb(Dc);1410000;;;Dc;25.2;;;1.2;;;;;1.3;Togo et al., 2016;Di Toro et al., in prep.;;3;;;
DolSat1173;rotary;trapezoidal;Dolomite;gouge;wet;;Wb(Dc);690000;;;Dc;3.44;;;0.85;;;;;1.3;De Paola et al., 2011;Di Toro et al., in prep.;;3;;;
DolSat1170;rotary;trapezoidal;Dolomite;gouge;wet;;Wb(Dc);1100000;;;Dc;4.4;;;1.24;;;;;1.3;De Paola et al., 2011;Di Toro et al., in prep.;;3;;;
DolSat1171;rotary;trapezoidal;Dolomite;gouge;wet;;Wb(Dc);1070000;;;Dc;3.62;;;1.64;;;;;1.3;De Paola et al., 2011;Di Toro et al., in prep.;;3;;;
LHV284;rotary;trapezoidal;Gaunt Creek core, 1A, 86.41 m, Alpine Fault;gouge;Wet;;Wb(Dc);980000;;;Dc;6.78;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV285;rotary;trapezoidal;Gaunt Creek core, 1A, 90.32 m, Alpine Fault;gouge;Wet;;Wb(Dc);750000;;;Dc;4.81;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV286;rotary;trapezoidal;Gaunt Creek core, 1A, 90.62 m, Alpine Fault;gouge;Wet;;Wb(Dc);20000;;;Dc;0.23;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV278;rotary;trapezoidal;Gaunt Creek outcrop, Alpine Fault;gouge;Wet;;Wb(Dc);390000;;;Dc;15.56;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV579;rotary;trapezoidal;Gaunt Creek core, 1B, 128.44 m, Alpine Fault;gouge;Wet;;Wb(Dc);450000;;;Dc;20.9;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV584a;rotary;trapezoidal;Gaunt Creek core, 1B, 128.44 m, Alpine Fault;gouge;Wet;;Wb(Dc);690000;;;Dc;17.96;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV582;rotary;trapezoidal;Gaunt Creek core, 1B, 128.44 m, Alpine Fault;gouge;Wet;;Wb(Dc);80000;;;Dc;9;;;1;;;;;;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV287;rotary;trapezoidal;Gaunt Creek core, 1B, 128.80 m, Alpine Fault;gouge;Wet;;Wb(Dc);120000;;;Dc;0.75;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV288;rotary;trapezoidal;Gaunt Creek core, 1B, 144.04 m, Alpine Fault;gouge;Wet;;Wb(Dc);680000;;;Dc;27.77;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
LHV289;rotary;trapezoidal;Hokuri Creek (Saponite rich), Alpine Fault;gouge;Wet;;Wb(Dc);10000;;;Dc;0.25;;;1;;;;;1;Boulton et al., 2017;Di Toro et al., in prep.;;3;;;
2414;rotary;trapezoidal;SAFOD fault;gouge;wet;;Wb(Dc);231000;;;Dc;3.2;;;1.5;;;;;1.3;French et al., 2014;Di Toro et al., in prep.;;3;;;
2432;rotary;trapezoidal;SAFOD fault;gouge;wet;;Wb(Dc);430000;;;Dc;3.73;;;1.5;;;;;1.3;French et al., 2014;Di Toro et al., in prep.;;3;;;
2404;rotary;trapezoidal;SAFOD fault;gouge;wet;;Wb(Dc);144000;;;Dc;1.56;;;1;;;;;1.3;French et al., 2014;Di Toro et al., in prep.;;3;;;
LHV116;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet partially saturated;;Wb(Dc);50000;;;Dc;2;;;0.4;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV120;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet partially saturated;;Wb(Dc);70000;;;Dc;0.6;;;0.7;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV117;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet partially saturated;;Wb(Dc);220000;;;Dc;1.2;;;1;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV118;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet partially saturated;;Wb(Dc);470000;;;Dc;2.3;;;1.6;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV119;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet partially saturated;;Wb(Dc);520000;;;Dc;1.3;;;2.2;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV372;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet drained to atmosphere;;Wb(Dc);460000;;;Dc;7.2;;;0.4;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV367;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet drained to atmosphere;;Wb(Dc);450000;;;Dc;4.1;;;0.7;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV366;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet drained to atmosphere;;Wb(Dc);650000;;;Dc;3.6;;;1;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV373;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet drained to atmosphere;;Wb(Dc);770000;;;Dc;2.2;;;1.6;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
LHV374;rotary;trapezoidal;carbonate fault breccia Wenchuan;gouge;wet drained to atmosphere;;Wb(Dc);580000;;;Dc;1.3;;;2.2;;;;;1.3;Chen et al., 2017;Di Toro et al., in prep.;;3;;;
